PT_CODE	PT STR	HG CODE	HG STR	Category
10027618	Mild mental retardation	10057167	Mental impairment disorders	1
10027618	Mild mental retardation	10009841	Cognitive and attention disorders and disturbances	1
10027791	Moderate mental retardation	10009841	Cognitive and attention disorders and disturbances	1
10027791	Moderate mental retardation	10057167	Mental impairment disorders	1
10040443	Severe mental retardation	10009841	Cognitive and attention disorders and disturbances	1
10040443	Severe mental retardation	10057167	Mental impairment disorders	1
10036791	Profound mental retardation	10009841	Cognitive and attention disorders and disturbances	1
10036791	Profound mental retardation	10057167	Mental impairment disorders	1
10056440	Oppositional defiant disorder	10009841	Cognitive and attention disorders and disturbances	1
10037999	Reading disorder	10009841	Cognitive and attention disorders and disturbances	1
10037999	Reading disorder	10009841	Cognitive and attention disorders and disturbances	1
10036813	Progressive supranuclear palsy	10057167	Mental impairment disorders	1
10001949	Amnesia	10012272	Dementia and amnestic conditions	1
10048663	Agnosia	10009841	Cognitive and attention disorders and disturbances	1
10001508	Agraphia	10009841	Cognitive and attention disorders and disturbances	1
10001663	Alexia	10009841	Cognitive and attention disorders and disturbances	1
10002948	Aphasia	10009841	Cognitive and attention disorders and disturbances	1
10003062	Apraxia	10009841	Cognitive and attention disorders and disturbances	1
10013932	Dyslexia	10009841	Cognitive and attention disorders and disturbances	1
10001949	Amnesia	10057167	Mental impairment disorders	1
10003805	Autism	10057167	Mental impairment disorders	1
10012218	Delirium	10012221	Deliria (incl confusion)	1
10023497	Kuru	10012272	Dementia and amnestic conditions	1
10013932	Dyslexia	10009841	Cognitive and attention disorders and disturbances	1
10052276	Pseudodementia	10012272	Dementia and amnestic conditions	1
10034872	Phenylketonuria	10057167	Mental impairment disorders	1
10034872	Phenylketonuria	10009841	Cognitive and attention disorders and disturbances	1
10044688	Trisomy 21	10057167	Mental impairment disorders	1
10044688	Trisomy 21	10009841	Cognitive and attention disorders and disturbances	1
10002711	Anterograde amnesia	10012272	Dementia and amnestic conditions	1
10011384	Creutzfeldt-Jakob disease	10012272	Dementia and amnestic conditions	1
10013395	Disorientation	10012221	Deliria (incl confusion)	1
10053878	Greig's syndrome	10009841	Cognitive and attention disorders and disturbances	1
10053878	Greig's syndrome	10057167	Mental impairment disorders	1
10000346	Acalculia	10009841	Cognitive and attention disorders and disturbances	1
10000346	Acalculia	10009841	Cognitive and attention disorders and disturbances	1
10051498	Amusia	10009841	Cognitive and attention disorders and disturbances	1
10012225	Delirium tremens	10012221	Deliria (incl confusion)	1
10017324	Fragile X syndrome	10009841	Cognitive and attention disorders and disturbances	1
10017324	Fragile X syndrome	10057167	Mental impairment disorders	1
10033848	Paramnesia	10012272	Dementia and amnestic conditions	1
