PT_CODE	PT STR	HG CODE	HG STR	Category
10027618	Mild mental retardation	10057167	Mental impairment disorders	1
10027618	Mild mental retardation	10009841	Cognitive and attention disorders and disturbances	1
10027791	Moderate mental retardation	10009841	Cognitive and attention disorders and disturbances	1
10027791	Moderate mental retardation	10057167	Mental impairment disorders	1
10040443	Severe mental retardation	10009841	Cognitive and attention disorders and disturbances	1
10040443	Severe mental retardation	10057167	Mental impairment disorders	1
10036791	Profound mental retardation	10009841	Cognitive and attention disorders and disturbances	1
10036791	Profound mental retardation	10057167	Mental impairment disorders	1
10037114	Pseudobulbar palsy	10028037	Movement disorders (incl parkinsonism)	3
10033985	Paresis	10028037	Movement disorders (incl parkinsonism)	3
10041415	Spastic paralysis	10028037	Movement disorders (incl parkinsonism)	3
10027926	Monoplegia	10028037	Movement disorders (incl parkinsonism)	3
10001541	Akinesia	10028037	Movement disorders (incl parkinsonism)	3
10043118	Tardive dyskinesia	10028037	Movement disorders (incl parkinsonism)	3
10029412	Nightmare	10040991	Sleep disorders and disturbances	3
10001497	Agitation	10028037	Movement disorders (incl parkinsonism)	3
10056440	Oppositional defiant disorder	10009841	Cognitive and attention disorders and disturbances	1
10053243	Polysubstance dependence	10037176	Psychiatric disorders NEC	2
10047393	Vestibular neuronitis	10029305	Neurological disorders NEC	3
10047393	Vestibular neuronitis	10022396	Inner ear and VIIIth cranial nerve disorders	3
10047393	Vestibular neuronitis	10022396	Inner ear and VIIIth cranial nerve disorders	3
10039637	"Schizophrenia, catatonic type"	10039628	Schizophrenia and other psychotic disorders	2
10039639	"Schizophrenia, paranoid type"	10039628	Schizophrenia and other psychotic disorders	2
10022568	Intermittent explosive disorder	10021563	Impulse control disorders NEC	2
10034158	Pathological gambling	10021563	Impulse control disorders NEC	2
10002942	Apathy	10027946	Mood disorders and disturbances NEC	2
10002942	Apathy	10027946	Mood disorders and disturbances NEC	2
10027951	Mood swings	10027946	Mood disorders and disturbances NEC	2
10027951	Mood swings	10027946	Mood disorders and disturbances NEC	2
10041250	Social phobia	10002861	Anxiety disorders and symptoms	2
10052793	Body dysmorphic disorder	10002861	Anxiety disorders and symptoms	2
10058920	Restless legs syndrome	10029305	Neurological disorders NEC	3
10034912	Phobia	10002861	Anxiety disorders and symptoms	2
10021750	Infantile spasms	10039911	Seizures (incl subtypes)	3
10052288	Morton's neuralgia	10029305	Neurological disorders NEC	3
10037999	Reading disorder	10009841	Cognitive and attention disorders and disturbances	1
10053694	Saccadic eye movement	10029305	Neurological disorders NEC	3
10042264	Stupor	10029305	Neurological disorders NEC	3
10001497	Agitation	10002861	Anxiety disorders and symptoms	2
