PT_CODE	PT STR	HG CODE	HG STR	Category
10037114	Pseudobulbar palsy	10028037	Movement disorders (incl parkinsonism)	3
10033985	Paresis	10028037	Movement disorders (incl parkinsonism)	3
10041415	Spastic paralysis	10028037	Movement disorders (incl parkinsonism)	3
10027926	Monoplegia	10028037	Movement disorders (incl parkinsonism)	3
10001541	Akinesia	10028037	Movement disorders (incl parkinsonism)	3
10043118	Tardive dyskinesia	10028037	Movement disorders (incl parkinsonism)	3
10029412	Nightmare	10040991	Sleep disorders and disturbances	3
10001497	Agitation	10028037	Movement disorders (incl parkinsonism)	3
10047393	Vestibular neuronitis	10029305	Neurological disorders NEC	3
10047393	Vestibular neuronitis	10022396	Inner ear and VIIIth cranial nerve disorders	3
10047393	Vestibular neuronitis	10022396	Inner ear and VIIIth cranial nerve disorders	3
10058920	Restless legs syndrome	10029305	Neurological disorders NEC	3
10021750	Infantile spasms	10039911	Seizures (incl subtypes)	3
10052288	Morton's neuralgia	10029305	Neurological disorders NEC	3
10053694	Saccadic eye movement	10029305	Neurological disorders NEC	3
10042264	Stupor	10029305	Neurological disorders NEC	3
10008754	Choreoathetosis	10028037	Movement disorders (incl parkinsonism)	3
10009346	Clonus	10029305	Neurological disorders NEC	3
10042264	Stupor	10040991	Sleep disorders and disturbances	3
10001497	Agitation	10029305	Neurological disorders NEC	3
10001497	Agitation	10029305	Neurological disorders NEC	3
10037999	Reading disorder	10029305	Neurological disorders NEC	3
10011953	Decreased activity	10028037	Movement disorders (incl parkinsonism)	3
10003591	Ataxia	10029305	Neurological disorders NEC	3
10016284	Febrile convulsion	10039911	Seizures (incl subtypes)	3
10001480	Ageusia	10029305	Neurological disorders NEC	3
10002953	Aphonia	10029305	Neurological disorders NEC	3
10010071	Coma	10029305	Neurological disorders NEC	3
10013887	Dysarthria	10029305	Neurological disorders NEC	3
10013911	Dysgeusia	10029305	Neurological disorders NEC	3
10013952	Dysphonia	10029305	Neurological disorders NEC	3
10014127	Echolalia	10029305	Neurological disorders NEC	3
10014129	Eclampsia	10039911	Seizures (incl subtypes)	3
10024855	Loss of consciousness	10029305	Neurological disorders NEC	3
10043209	Temporal lobe epilepsy	10039911	Seizures (incl subtypes)	3
10043209	Temporal lobe epilepsy	10039911	Seizures (incl subtypes)	3
10048663	Agnosia	10029305	Neurological disorders NEC	3
10001508	Agraphia	10029305	Neurological disorders NEC	3
10001663	Alexia	10029305	Neurological disorders NEC	3
10002948	Aphasia	10029305	Neurological disorders NEC	3
10003062	Apraxia	10029305	Neurological disorders NEC	3
10003062	Apraxia	10029305	Neurological disorders NEC	3
10003620	Athetosis	10028037	Movement disorders (incl parkinsonism)	3
10011469	Crying	10029305	Neurological disorders NEC	3
10013916	Dyskinesia	10028037	Movement disorders (incl parkinsonism)	3
10019465	Hemiparesis	10028037	Movement disorders (incl parkinsonism)	3
10019468	Hemiplegia	10028037	Movement disorders (incl parkinsonism)	3
10020651	Hyperkinesia	10028037	Movement disorders (incl parkinsonism)	3
10021021	Hypokinesia	10028037	Movement disorders (incl parkinsonism)	3
10007737	Cataplexy	10040991	Sleep disorders and disturbances	3
10017062	Formication	10029305	Neurological disorders NEC	3
10027646	Miosis	10029305	Neurological disorders NEC	3
10028403	Mutism	10029305	Neurological disorders NEC	3
10028521	Mydriasis	10029305	Neurological disorders NEC	3
10024264	Lethargy	10029305	Neurological disorders NEC	3
10013573	Dizziness	10029305	Neurological disorders NEC	3
10013642	Drooling	10029305	Neurological disorders NEC	3
10013932	Dyslexia	10029305	Neurological disorders NEC	3
10013983	Dystonia	10028037	Movement disorders (incl parkinsonism)	3
10020765	Hypersomnia	10040991	Sleep disorders and disturbances	3
10022437	Insomnia	10040991	Sleep disorders and disturbances	3
10027266	Meningocele	10029305	Neurological disorders NEC	3
10033892	Paraplegia	10028037	Movement disorders (incl parkinsonism)	3
10037714	Quadriplegia	10028037	Movement disorders (incl parkinsonism)	3
10038743	Restlessness	10028037	Movement disorders (incl parkinsonism)	3
10028713	Narcolepsy	10040991	Sleep disorders and disturbances	3
10042772	Syncope	10029305	Neurological disorders NEC	3
10043882	Tinnitus	10022396	Inner ear and VIIIth cranial nerve disorders	3
10047340	Vertigo	10022396	Inner ear and VIIIth cranial nerve disorders	3
10044565	Tremor	10028037	Movement disorders (incl parkinsonism)	3
10001540	Akathisia	10028037	Movement disorders (incl parkinsonism)	3
10034010	Parkinsonism	10028037	Movement disorders (incl parkinsonism)	3
10043882	Tinnitus	10022396	Inner ear and VIIIth cranial nerve disorders	3
10043882	Tinnitus	10022396	Inner ear and VIIIth cranial nerve disorders	3
10047340	Vertigo	10029305	Neurological disorders NEC	3
10027197	Meningism	10029305	Neurological disorders NEC	3
10028622	Myoclonus	10029305	Neurological disorders NEC	3
10048736	Pneumocephalus	10029305	Neurological disorders NEC	3
10038743	Restlessness	10029305	Neurological disorders NEC	3
10038743	Restlessness	10029305	Neurological disorders NEC	3
10042159	Strabismus	10029305	Neurological disorders NEC	3
10042159	Strabismus	10029305	Neurological disorders NEC	3
10047466	Viral labyrinthitis	10022396	Inner ear and VIIIth cranial nerve disorders	3
10001115	Adams-Stokes syndrome	10029305	Neurological disorders NEC	3
10003084	Areflexia	10029305	Neurological disorders NEC	3
10000523	Acoustic neuroma	10022396	Inner ear and VIIIth cranial nerve disorders	3
10000523	Acoustic neuroma	10022396	Inner ear and VIIIth cranial nerve disorders	3
10054938	Cerebral disorder	10029305	Neurological disorders NEC	3
10043833	Tic	10029305	Neurological disorders NEC	3
10044074	Torticollis	10028037	Movement disorders (incl parkinsonism)	3
10044684	Trismus	10028037	Movement disorders (incl parkinsonism)	3
10020015	Heterophoria	10029305	Neurological disorders NEC	3
10020015	Heterophoria	10029305	Neurological disorders NEC	3
