PT_CODE	PT STR	HG CODE	HG STR	Category
10053243	Polysubstance dependence	10037176	Psychiatric disorders NEC	2
10039637	"Schizophrenia, catatonic type"	10039628	Schizophrenia and other psychotic disorders	2
10039639	"Schizophrenia, paranoid type"	10039628	Schizophrenia and other psychotic disorders	2
10022568	Intermittent explosive disorder	10021563	Impulse control disorders NEC	2
10034158	Pathological gambling	10021563	Impulse control disorders NEC	2
10002942	Apathy	10027946	Mood disorders and disturbances NEC	2
10002942	Apathy	10027946	Mood disorders and disturbances NEC	2
10027951	Mood swings	10027946	Mood disorders and disturbances NEC	2
10027951	Mood swings	10027946	Mood disorders and disturbances NEC	2
10041250	Social phobia	10002861	Anxiety disorders and symptoms	2
10052793	Body dysmorphic disorder	10002861	Anxiety disorders and symptoms	2
10034912	Phobia	10002861	Anxiety disorders and symptoms	2
10001497	Agitation	10002861	Anxiety disorders and symptoms	2
10001297	Adjustment disorder with depressed mood	10001302	Adjustment disorders (incl subtypes)	2
10001298	Adjustment disorder with disturbance of conduct	10001302	Adjustment disorders (incl subtypes)	2
10021403	Illusion	10013511	Disturbances in thinking and perception	2
10037996	Reactive attachment disorder of infancy or early childhood	10037176	Psychiatric disorders NEC	2
10039647	Schizophreniform disorder	10039628	Schizophrenia and other psychotic disorders	2
10036316	Post-traumatic stress disorder	10002861	Anxiety disorders and symptoms	2
10042464	Suicide attempt	10042460	Suicidal and self-injurious behaviours NEC	2
10002368	Anger	10027946	Mood disorders and disturbances NEC	2
10048909	Boredom	10027946	Mood disorders and disturbances NEC	2
10053164	Alcohol withdrawal syndrome	10037176	Psychiatric disorders NEC	2
10001639	Alcoholism	10037176	Psychiatric disorders NEC	2
10001502	Agoraphobia	10002861	Anxiety disorders and symptoms	2
10001502	Agoraphobia	10002861	Anxiety disorders and symptoms	2
10009244	Claustrophobia	10002861	Anxiety disorders and symptoms	2
10009244	Claustrophobia	10002861	Anxiety disorders and symptoms	2
10002855	Anxiety	10002861	Anxiety disorders and symptoms	2
10017062	Formication	10013511	Disturbances in thinking and perception	2
10011469	Crying	10027946	Mood disorders and disturbances NEC	2
10053317	Hydrophobia	10002861	Anxiety disorders and symptoms	2
10029216	Nervousness	10002861	Anxiety disorders and symptoms	2
10012378	Depression	10012375	Depressed mood disorders and disturbances	2
10014643	Encopresis	10037176	Psychiatric disorders NEC	2
10014928	Enuresis	10037176	Psychiatric disorders NEC	2
10023461	Kleptomania	10021563	Impulse control disorders NEC	2
10024264	Lethargy	10027946	Mood disorders and disturbances NEC	2
10026749	Mania	10026753	Manic and bipolar mood disorders and disturbances	2
10057342	Onychophagia	10021563	Impulse control disorders NEC	2
10038743	Restlessness	10002861	Anxiety disorders and symptoms	2
10037674	Pyromania	10021563	Impulse control disorders NEC	2
10044629	Trichotillomania	10021563	Impulse control disorders NEC	2
10013754	Drug withdrawal syndrome	10037176	Psychiatric disorders NEC	2
10033664	Panic attack	10002861	Anxiety disorders and symptoms	2
10001540	Akathisia	10002861	Anxiety disorders and symptoms	2
10036182	Porphyria acute	10037176	Psychiatric disorders NEC	2
10009207	Circumstantiality	10013511	Disturbances in thinking and perception	2
10010297	Confabulation	10013511	Disturbances in thinking and perception	2
10011652	Cushing's syndrome	10037176	Psychiatric disorders NEC	2
10012411	Derailment	10013511	Disturbances in thinking and perception	2
10054940	Dyslogia	10037176	Psychiatric disorders NEC	2
10000605	Acrophobia	10002861	Anxiety disorders and symptoms	2
10010219	Compulsions	10002861	Anxiety disorders and symptoms	2
10013663	Drug dependence	10037176	Psychiatric disorders NEC	2
10016777	Flight of ideas	10013511	Disturbances in thinking and perception	2
10021402	Illogical thinking	10013511	Disturbances in thinking and perception	2
