PT_CODE	PT_STR	HG_CODE	HG_STR
10013908	Dysfunctional uterine bleeding	10013326	Menstrual cycle and uterine bleeding disorders
10013908	Dysfunctional uterine bleeding	10013326	Menstrual cycle and uterine bleeding disorders
10059744	Coagulation factor	10018851	Haematology investigations (incl blood groups)
10017822	Gastric ulcer	10018027	Gastrointestinal ulceration and perforation
10002243	Anastomotic ulcer	10018027	Gastrointestinal ulceration and perforation
10050640	Antithrombin III	10018851	Haematology investigations (incl blood groups)
10016603	Fibrinolysis	10018851	Haematology investigations (incl blood groups)
10050922	Megakaryocytes	10018851	Haematology investigations (incl blood groups)
10014080	Ecchymosis	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10016574	Fibrin	10018851	Haematology investigations (incl blood groups)
10027313	Menorrhagia	10013326	Menstrual cycle and uterine bleeding disorders
10027514	Metrorrhagia	10013326	Menstrual cycle and uterine bleeding disorders
10027514	Metrorrhagia	10013326	Menstrual cycle and uterine bleeding disorders
10050416	Protein C	10018851	Haematology investigations (incl blood groups)
10034754	Petechiae	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10043554	Thrombocytopenia	10035534	Platelet disorders
10043529	Thrombasthenia	10035534	Platelet disorders
10037560	Purpura senile	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10050417	Protein S	10018851	Haematology investigations (incl blood groups)
10059906	Platelet morphology	10018851	Haematology investigations (incl blood groups)
10002153	Anal fissure	10018027	Gastrointestinal ulceration and perforation
10050245	Autoimmune thrombocytopenia	10035534	Platelet disorders
10019617	Henoch-Schonlein purpura	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10013443	Disseminated intravascular coagulation in newborn	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10029363	Neutrophil count	10018851	Haematology investigations (incl blood groups)
10025251	Lymphocyte count	10018851	Haematology investigations (incl blood groups)
10027876	Monocyte count	10018851	Haematology investigations (incl blood groups)
10014941	Eosinophil count	10018851	Haematology investigations (incl blood groups)
10049695	Basophil count	10018851	Haematology investigations (incl blood groups)
10059907	Red blood cell morphology	10018851	Haematology investigations (incl blood groups)
10059908	White blood cell morphology	10018851	Haematology investigations (incl blood groups)
10013836	Duodenal ulcer	10018027	Gastrointestinal ulceration and perforation
10049058	HELLP syndrome	10035534	Platelet disorders
10027295	Menometrorrhagia	10013326	Menstrual cycle and uterine bleeding disorders
10034341	Peptic ulcer	10018027	Gastrointestinal ulceration and perforation
10059980	Plasmin inhibitor	10018851	Haematology investigations (incl blood groups)
10035525	Platelet count	10018851	Haematology investigations (incl blood groups)
10036618	Premenstrual syndrome	10013326	Menstrual cycle and uterine bleeding disorders
10021245	Idiopathic thrombocytopenic purpura	10035534	Platelet disorders
10000630	Activated partial thromboplastin time	10018851	Haematology investigations (incl blood groups)
10005136	Bleeding time	10018851	Haematology investigations (incl blood groups)
10009802	Coagulopathy	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10024377	Leukocytoclastic vasculitis	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10052316	Majocchi's purpura	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
